"title","description","rating","count_of_movies","average_movie_rental_rate","maximum_rental_duration","minimum_rental_duration"
"Mulan Moon","A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon","G","1","0.99000000000000000000",4,4
"Fantasia Park","A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia","G","1","2.9900000000000000",5,5
"Mob Duffel","A Unbelieveable Documentary of a Frisbee And a Boat who must Meet a Boy in The Canadian Rockies","G","1","0.99000000000000000000",4,4
"Bugsy Song","A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station","G","1","2.9900000000000000",4,4
"Torque Bound","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan","G","1","4.9900000000000000",3,3
"Color Philadelphia","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert","G","1","2.9900000000000000",6,6
"Fargo Gandhi","A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback","G","1","2.9900000000000000",3,3
"Cheaper Clyde","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan","G","1","0.99000000000000000000",6,6
"Muscle Bright","A Stunning Panorama of a Sumo Wrestler And a Husband who must Redeem a Madman in Ancient India","G","1","2.9900000000000000",7,7
"Goldfinger Sensibility","A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans","G","1","0.99000000000000000000",3,3
"Teen Apollo","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank","G","1","4.9900000000000000",3,3
"Scissorhands Slums","A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies","G","1","2.9900000000000000",5,5
"Catch Amistad","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria","G","1","0.99000000000000000000",7,7
"Annie Identity","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park","G","1","0.99000000000000000000",3,3
"Spoilers Hellfighters","A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico","G","1","0.99000000000000000000",4,4
"Autumn Crow","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert","G","1","4.9900000000000000",3,3
"Werewolf Lola","A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery","G","1","4.9900000000000000",6,6
"Angels Life","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin","G","1","2.9900000000000000",3,3
"Dracula Crystal","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House","G","1","0.99000000000000000000",7,7
"Flatliners Killer","A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft","G","1","2.9900000000000000",5,5
"Chitty Lock","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station","G","1","2.9900000000000000",6,6
"Control Anthem","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery","G","1","4.9900000000000000",7,7
"Pulp Beverly","A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria","G","1","2.9900000000000000",4,4
"Empire Malkovich","A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House","G","1","0.99000000000000000000",7,7
"Lust Lock","A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert","G","1","2.9900000000000000",3,3
"Beach Heartbreakers","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia","G","1","2.9900000000000000",6,6
"Lawless Vision","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback","G","1","4.9900000000000000",6,6
"Casablanca Super","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station","G","1","4.9900000000000000",6,6
"African Egg","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico","G","1","2.9900000000000000",6,6
"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse","G","1","0.99000000000000000000",3,3
"Barefoot Manchurian","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park","G","1","2.9900000000000000",6,6
"Hocus Frida","A Awe-Inspiring Tale of a Girl And a Madman who must Outgun a Student in A Shark Tank","G","1","2.9900000000000000",4,4
"Saints Bride","A Fateful Tale of a Technical Writer And a Composer who must Pursue a Explorer in The Gulf of Mexico","G","1","2.9900000000000000",5,5
"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention","G","1","0.99000000000000000000",6,6
"Cat Coneheads","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India","G","1","4.9900000000000000",5,5
"Samurai Lion","A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon","G","1","2.9900000000000000",5,5
"Clerks Angels","A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon","G","1","4.9900000000000000",3,3
"Potluck Mixed","A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon","G","1","2.9900000000000000",3,3
"Timberland Sky","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat","G","1","0.99000000000000000000",3,3
"West Lion","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse","G","1","4.9900000000000000",4,4
"Bonnie Holocaust","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan","G","1","0.99000000000000000000",4,4
"Desperate Trainspotting","A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California","G","1","4.9900000000000000",7,7
"Menagerie Rushmore","A Unbelieveable Panorama of a Composer And a Butler who must Overcome a Database Administrator in The First Manned Space Station","G","1","2.9900000000000000",7,7
"Hills Neighbors","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat","G","1","0.99000000000000000000",5,5
"Summer Scarface","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank","G","1","0.99000000000000000000",5,5
"Casualties Encino","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery","G","1","4.9900000000000000",3,3
"Ace Goldfinger","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China","G","1","4.9900000000000000",3,3
"Mussolini Spoilers","A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China","G","1","2.9900000000000000",6,6
"Dancing Fever","A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank","G","1","0.99000000000000000000",6,6
"Lonely Elephant","A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia","G","1","2.9900000000000000",3,3
"Heartbreakers Bright","A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies","G","1","4.9900000000000000",3,3
"Drumline Cyclone","A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies","G","1","0.99000000000000000000",3,3
"Ghost Groundhog","A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India","G","1","4.9900000000000000",6,6
"Young Language","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station","G","1","0.99000000000000000000",6,6
"Smile Earring","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin","G","1","2.9900000000000000",4,4
"Trap Guys","A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert","G","1","4.9900000000000000",3,3
"Sleepless Monsoon","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia","G","1","4.9900000000000000",5,5
"Intrigue Worst","A Fanciful Character Study of a Explorer And a Mad Scientist who must Vanquish a Squirrel in A Jet Boat","G","1","0.99000000000000000000",6,6
"Shining Roses","A Awe-Inspiring Character Study of a Astronaut And a Forensic Psychologist who must Challenge a Madman in Ancient India","G","1","0.99000000000000000000",4,4
"Conquerer Nuts","A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft","G","1","4.9900000000000000",4,4
"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft","G","1","4.9900000000000000",5,5
